word, count, percent, cum
talent, 8, 0.04, 62.71
soll, 8, 0.04, 62.75
schnell, 8, 0.04, 62.79
politik, 8, 0.04, 62.82
müssen,, 8, 0.04, 62.86
macht, 8, 0.04, 62.90
letzten, 8, 0.04, 62.93
lassen,, 8, 0.04, 62.97
können., 8, 0.04, 63.01
kriegerischen, 8, 0.04, 63.04
höchsten, 8, 0.04, 63.08
hinter, 8, 0.04, 63.12
hauptsächlich, 8, 0.04, 63.15
hauptschlacht, 8, 0.04, 63.19
größeren, 8, 0.04, 63.23
gleichgewicht, 8, 0.04, 63.26
gewissen, 8, 0.04, 63.30
gewalt, 8, 0.04, 63.34
gebrauch, 8, 0.04, 63.37
geben, 8, 0.04, 63.41
führer, 8, 0.04, 63.45
fälle, 8, 0.04, 63.48
feldherren, 8, 0.04, 63.52
fehler, 8, 0.04, 63.56
es,, 8, 0.04, 63.59
damit, 8, 0.04, 63.63
dabei, 8, 0.04, 63.67
bewegung, 8, 0.04, 63.70
betrachten,, 8, 0.04, 63.74
anstrengung, 8, 0.04, 63.78
allgemeinen, 8, 0.04, 63.81
Übergewicht, 7, 0.03, 63.85
wäre, 7, 0.03, 63.88
während, 7, 0.03, 63.91
worden, 7, 0.03, 63.94
widerspruch, 7, 0.03, 63.98
weiter, 7, 0.03, 64.01
stärker, 7, 0.03, 64.04
stärke, 7, 0.03, 64.07
streitkraft, 7, 0.03, 64.10
stellung, 7, 0.03, 64.14
stark, 7, 0.03, 64.17
spiel, 7, 0.03, 64.20
sei,, 7, 0.03, 64.23
reserven, 7, 0.03, 64.27
recht, 7, 0.03, 64.30
punkt, 7, 0.03, 64.33
nötig, 7, 0.03, 64.36
notwendig, 7, 0.03, 64.39
nicht,, 7, 0.03, 64.43
masse, 7, 0.03, 64.46
jedes, 7, 0.03, 64.49
jede, 7, 0.03, 64.52
höchst, 7, 0.03, 64.55
haben., 7, 0.03, 64.59
grundsatz, 7, 0.03, 64.62
gewicht, 7, 0.03, 64.65
geschieht,, 7, 0.03, 64.68
geht, 7, 0.03, 64.72
gegenstand, 7, 0.03, 64.75
gefahr,, 7, 0.03, 64.78
führung, 7, 0.03, 64.81
form, 7, 0.03, 64.84
findet, 7, 0.03, 64.88
feldherrn,, 7, 0.03, 64.91
einfluß, 7, 0.03, 64.94
die,, 7, 0.03, 64.97
da,, 7, 0.03, 65.01
clausewitz, 7, 0.03, 65.04
charakter, 7, 0.03, 65.07
besiegten, 7, 0.03, 65.10
beiden, 7, 0.03, 65.13
beide, 7, 0.03, 65.17
armee, 7, 0.03, 65.20
anstrengungen, 7, 0.03, 65.23
anders, 7, 0.03, 65.26
an,, 7, 0.03, 65.30
zeit,, 6, 0.03, 65.32
zahl, 6, 0.03, 65.35
wert, 6, 0.03, 65.38
weise, 6, 0.03, 65.41
wegen, 6, 0.03, 65.43
wege, 6, 0.03, 65.46
vielmehr, 6, 0.03, 65.49
vertrauen, 6, 0.03, 65.52
verteidiger, 6, 0.03, 65.54
verhältnisse, 6, 0.03, 65.57
verfolgung, 6, 0.03, 65.60
verfolgen, 6, 0.03, 65.63
urteil, 6, 0.03, 65.65
ungewißheit, 6, 0.03, 65.68
umständen, 6, 0.03, 65.71
tätigkeiten, 6, 0.03, 65.74
truppen, 6, 0.03, 65.76
taktik, 6, 0.03, 65.79
strategische, 6, 0.03, 65.82
stellen, 6, 0.03, 65.85
später, 6, 0.03, 65.87
soldaten, 6, 0.03, 65.90
solchen, 6, 0.03, 65.93
sogar, 6, 0.03, 65.96
sinne, 6, 0.03, 65.98
schlacht,, 6, 0.03, 66.01
regel, 6, 0.03, 66.04
ob, 6, 0.03, 66.07
nicht., 6, 0.03, 66.10
nachdem, 6, 0.03, 66.12
muß., 6, 0.03, 66.15
mitteln, 6, 0.03, 66.18
maß, 6, 0.03, 66.21
linien, 6, 0.03, 66.23
kräfte,, 6, 0.03, 66.26
jenes, 6, 0.03, 66.29
hin, 6, 0.03, 66.32
größten, 6, 0.03, 66.34
grunde, 6, 0.03, 66.37
großes, 6, 0.03, 66.40
gewinnen,, 6, 0.03, 66.43
geringschätzung, 6, 0.03, 66.45
genug, 6, 0.03, 66.48
gehört, 6, 0.03, 66.51
führen,, 6, 0.03, 66.54
führen, 6, 0.03, 66.56
folglich, 6, 0.03, 66.59
festungen, 6, 0.03, 66.62
feldherr,, 6, 0.03, 66.65
fast, 6, 0.03, 66.67
falle, 6, 0.03, 66.70
erscheinen, 6, 0.03, 66.73
eigentlichen, 6, 0.03, 66.76
eigentliche, 6, 0.03, 66.78
eigene, 6, 0.03, 66.81
ehe, 6, 0.03, 66.84
ebenso, 6, 0.03, 66.87
denken,, 6, 0.03, 66.89
davon, 6, 0.03, 66.92
darauf, 6, 0.03, 66.95
daher, 6, 0.03, 66.98
dagegen, 6, 0.03, 67.01
braucht, 6, 0.03, 67.03
betrachtet, 6, 0.03, 67.06
besonders, 6, 0.03, 67.09
bald, 6, 0.03, 67.12
außer, 6, 0.03, 67.14
augen, 6, 0.03, 67.17
aufgeben, 6, 0.03, 67.20
anderer, 6, 0.03, 67.23
aber,, 6, 0.03, 67.25
zweiten, 5, 0.02, 67.28
zweite, 5, 0.02, 67.30
zustand, 5, 0.02, 67.32
zufall, 5, 0.02, 67.35
zeiten, 5, 0.02, 67.37
worden,, 5, 0.02, 67.39
wollte,, 5, 0.02, 67.41
wollen,, 5, 0.02, 67.44
wirksamkeit, 5, 0.02, 67.46
wenige, 5, 0.02, 67.48
weiß,, 5, 0.02, 67.51
war, 5, 0.02, 67.53
verstande, 5, 0.02, 67.55
verluste, 5, 0.02, 67.58
verlorene, 5, 0.02, 67.60
unterschied, 5, 0.02, 67.62
unserer, 5, 0.02, 67.64
unser, 5, 0.02, 67.67
unmittelbare, 5, 0.02, 67.69
unmittelbar, 5, 0.02, 67.71
truppe, 5, 0.02, 67.74
tritt, 5, 0.02, 67.76
takt, 5, 0.02, 67.78
suchen,, 5, 0.02, 67.81
stolz, 5, 0.02, 67.83
stelle, 5, 0.02, 67.85
sonst, 5, 0.02, 67.87
sieht,, 5, 0.02, 67.90
sieges., 5, 0.02, 67.92
siege,, 5, 0.02, 67.94
siege, 5, 0.02, 67.97
sagen:, 5, 0.02, 67.99
rückzug, 5, 0.02, 68.01
rücken, 5, 0.02, 68.04
reihe, 5, 0.02, 68.06
plan, 5, 0.02, 68.08
paar, 5, 0.02, 68.10
offensiven, 5, 0.02, 68.13
offenbar, 5, 0.02, 68.15
nächsten, 5, 0.02, 68.17
notwendigkeit, 5, 0.02, 68.20
niederlage, 5, 0.02, 68.22
nennen, 5, 0.02, 68.24
natürlich, 5, 0.02, 68.26
meilen, 5, 0.02, 68.29
machen., 5, 0.02, 68.31
machen, 5, 0.02, 68.33
länger, 5, 0.02, 68.36
linie, 5, 0.02, 68.38
landes, 5, 0.02, 68.40
krieges,, 5, 0.02, 68.43
kriegerischer, 5, 0.02, 68.45
krieg,, 5, 0.02, 68.47
kommen, 5, 0.02, 68.49
kleinen, 5, 0.02, 68.52
kennen, 5, 0.02, 68.54
kaum, 5, 0.02, 68.56
karl, 5, 0.02, 68.59
jene, 5, 0.02, 68.61
ihres, 5, 0.02, 68.63
ich, 5, 0.02, 68.66
hängt, 5, 0.02, 68.68
hilfe, 5, 0.02, 68.70
hauptstadt, 5, 0.02, 68.72
gut, 5, 0.02, 68.75
grad, 5, 0.02, 68.77
glücklichen, 5, 0.02, 68.79
gibt,, 5, 0.02, 68.82
gewöhnlichen, 5, 0.02, 68.84
gewöhnliche, 5, 0.02, 68.86
gewiß, 5, 0.02, 68.89
geschieht, 5, 0.02, 68.91
gefühl, 5, 0.02, 68.93
gebiet, 5, 0.02, 68.95
