index, word, count, percent, cum
251,between, 63, 0.05, 64.58
252,“that, 62, 0.05, 64.62
253,within, 62, 0.05, 64.67
254,towards, 62, 0.05, 64.71
255,things, 62, 0.05, 64.76
256,strong, 62, 0.05, 64.81
257,side, 62, 0.05, 64.85
258,quite, 62, 0.05, 64.90
259,gone, 62, 0.05, 64.94
260,heard, 61, 0.04, 64.99
261,get, 61, 0.04, 65.03
262,stopped, 60, 0.04, 65.08
263,woman, 59, 0.04, 65.12
264,seemed, 59, 0.04, 65.16
265,hair, 59, 0.04, 65.21
266,ask, 59, 0.04, 65.25
267,wine, 58, 0.04, 65.29
268,paris, 58, 0.04, 65.34
269,found, 58, 0.04, 65.38
270,thought, 57, 0.04, 65.42
271,spy, 56, 0.04, 65.46
272,saint, 56, 0.04, 65.50
273,corner, 56, 0.04, 65.54
274,together, 55, 0.04, 65.59
275,something, 55, 0.04, 65.63
276,sir”, 55, 0.04, 65.67
277,held, 55, 0.04, 65.71
278,daughter, 55, 0.04, 65.75
279,arm, 55, 0.04, 65.79
280,roads, 54, 0.04, 65.83
281,known, 54, 0.04, 65.87
282,speak, 53, 0.04, 65.91
283,half, 53, 0.04, 65.94
284,struck, 52, 0.04, 65.98
285,soon, 52, 0.04, 66.02
286,red, 52, 0.04, 66.06
287,laid, 52, 0.04, 66.10
288,faces, 52, 0.04, 66.14
289,behind, 52, 0.04, 66.17
290,anything, 52, 0.04, 66.21
291,state, 51, 0.04, 66.25
292,morning, 51, 0.04, 66.29
293,low, 51, 0.04, 66.33
294,love, 51, 0.04, 66.36
295,called, 51, 0.04, 66.40
296,“if, 50, 0.04, 66.44
297,wineshop, 50, 0.04, 66.47
298,stone, 50, 0.04, 66.51
299,myself, 50, 0.04, 66.55
300,hour, 50, 0.04, 66.58
301,home, 50, 0.04, 66.62
302,dead, 50, 0.04, 66.66
303,“yes, 49, 0.04, 66.69
304,women, 49, 0.04, 66.73
305,window, 49, 0.04, 66.77
306,times, 49, 0.04, 66.80
307,opened, 49, 0.04, 66.84
308,new, 49, 0.04, 66.87
309,hold, 49, 0.04, 66.91
310,street, 48, 0.04, 66.95
311,jacques, 48, 0.04, 66.98
312,france, 48, 0.04, 67.02
313,days, 48, 0.04, 67.05
314,close, 48, 0.04, 67.09
315,village, 47, 0.03, 67.12
316,set, 47, 0.03, 67.16
317,open, 47, 0.03, 67.19
318,itself, 47, 0.03, 67.23
319,hard, 47, 0.03, 67.26
320,fire, 47, 0.03, 67.30
321,coming, 47, 0.03, 67.33
322,carriage, 47, 0.03, 67.36
323,usual, 46, 0.03, 67.40
324,thing, 46, 0.03, 67.43
325,lady, 46, 0.03, 67.47
326,keep, 46, 0.03, 67.50
327,hear, 46, 0.03, 67.53
328,death, 46, 0.03, 67.57
329,began, 46, 0.03, 67.60
330,bank, 46, 0.03, 67.64
331,answered, 46, 0.03, 67.67
332,“but, 45, 0.03, 67.70
333,question, 45, 0.03, 67.74
334,paper, 45, 0.03, 67.77
335,mender, 45, 0.03, 67.80
336,find, 45, 0.03, 67.83
337,cried, 45, 0.03, 67.87
338,chapter, 45, 0.03, 67.90
339,carried, 45, 0.03, 67.93
340,breast, 45, 0.03, 67.97
341,arms, 45, 0.03, 68.00
342,antoine, 45, 0.03, 68.03
343,answer, 45, 0.03, 68.07
344,whose, 44, 0.03, 68.10
345,alone, 44, 0.03, 68.13
346,“my, 43, 0.03, 68.16
347,wall, 43, 0.03, 68.19
348,told, 43, 0.03, 68.23
349,road, 43, 0.03, 68.26
350,right, 43, 0.03, 68.29
351,repeated, 43, 0.03, 68.32
352,rather, 43, 0.03, 68.35
353,near, 43, 0.03, 68.38
354,dropped, 43, 0.03, 68.42
355,court, 43, 0.03, 68.45
356,case, 43, 0.03, 68.48
357,why, 42, 0.03, 68.51
358,walked, 42, 0.03, 68.54
359,small, 42, 0.03, 68.57
360,show, 42, 0.03, 68.60
361,lips, 42, 0.03, 68.63
362,knitting, 42, 0.03, 68.67
363,kept, 42, 0.03, 68.70
364,hundred, 42, 0.03, 68.73
